fid,osm_id,structural_openness,number_of_floors,vegetation,material_rooftop,material_wall
673,361710821,closed_structure,one,yes,metal,concrete
674,361710827,unclear,one,yes,unclear,metal
678,361711082,closed_structure,one,yes,metal,concrete
680,361711384,closed_structure,one,no,metal,concrete
690,361713723,closed_structure,one,yes,metal,concrete
699,361717804,closed_structure,one,yes,metal,concrete
700,361717805,closed_structure,one,yes,metal,concrete
703,361719507,closed_structure,one,yes,metal,concrete
705,361768712,unclear,one,yes,metal,metal
706,361772392,closed_structure,one,yes,metal,concrete
708,361845833,unclear,one,yes,metal,metal
709,361855542,closed_structure,one,yes,metal,concrete
714,361859572,closed_structure,one,yes,metal,concrete
715,361859573,closed_structure,one,yes,metal,concrete
719,361859593,closed_structure,one,yes,metal,concrete
724,361860594,closed_structure,one,yes,metal,concrete
725,361860595,closed_structure,one,yes,metal,concrete
730,361860891,closed_structure,one,yes,metal,concrete
731,361860893,closed_structure,one,no,metal,concrete
732,361860895,closed_structure,one,no,metal,concrete
735,361860917,closed_structure,one,yes,metal,concrete
736,361860918,closed_structure,one,no,metal,concrete
741,361861884,closed_structure,one,yes,metal,concrete
745,361862272,closed_structure,one,no,metal,concrete
747,361862648,closed_structure,one,yes,metal,concrete
749,361862694,closed_structure,one,yes,metal,concrete
751,361863938,closed_structure,one,yes,metal,concrete
753,361863940,closed_structure,one,yes,metal,concrete
756,361863949,closed_structure,one,yes,metal,concrete
757,361863950,closed_structure,one,yes,metal,concrete
758,361864068,closed_structure,one,yes,metal,concrete
760,361864076,closed_structure,one,yes,metal,concrete
763,361864385,closed_structure,one,yes,metal,concrete
764,361864539,closed_structure,one,yes,metal,concrete
769,361864578,closed_structure,one,yes,metal,concrete
771,361865369,partial,one,yes,metal,metal
772,361865373,closed_structure,one,yes,shingles,concrete
775,361865389,closed_structure,one,yes,metal,concrete
780,361867471,closed_structure,one,yes,metal,concrete
781,361867473,closed_structure,one,yes,metal,concrete
784,361867484,closed_structure,one,yes,metal,concrete
785,361867501,closed_structure,one,yes,metal,concrete
790,361867513,closed_structure,one,yes,metal,concrete
794,361868785,closed_structure,one,yes,metal,concrete
795,361868787,closed_structure,one,yes,metal,concrete
798,361868794,closed_structure,one,yes,metal,wood
799,361868795,partial,one,yes,metal,metal
803,361869431,closed_structure,one,yes,metal,concrete
805,361869445,closed_structure,one,yes,metal,concrete
806,361869450,closed_structure,one,yes,metal,concrete
809,361874937,closed_structure,one,yes,metal,concrete
811,361875418,closed_structure,one,yes,metal,concrete
814,361875433,closed_structure,one,yes,metal,concrete
815,361875437,closed_structure,one,yes,shingles,concrete
817,361875637,closed_structure,one,yes,metal,concrete
829,361877692,closed_structure,one,yes,metal,concrete
834,361877723,unclear,one,yes,unclear,concrete
838,361877738,closed_structure,one,yes,metal,concrete
846,361879678,closed_structure,one,yes,metal,concrete
850,361879699,unclear,one,yes,metal,metal
851,361879711,closed_structure,one,yes,metal,concrete
857,361881344,closed_structure,one,yes,metal,concrete
861,361881356,closed_structure,one,yes,metal,concrete
863,361881358,closed_structure,one,yes,metal,concrete
864,361881359,closed_structure,one,yes,metal,concrete
865,361881366,closed_structure,one,yes,metal,concrete
870,361881389,closed_structure,one,yes,metal,concrete
871,361881395,closed_structure,one,yes,metal,concrete
872,361881403,closed_structure,one,yes,metal,concrete
878,361881931,closed_structure,one,yes,metal,concrete
879,361881932,closed_structure,one,yes,metal,concrete
882,361881936,closed_structure,one,yes,metal,concrete
883,361881942,closed_structure,one,yes,metal,concrete
884,361881953,unclear,one,yes,metal,metal
885,361881958,closed_structure,one,yes,metal,concrete
893,361887802,unclear,one,yes,metal,metal
896,361887834,closed_structure,one,yes,metal,concrete
897,361887839,closed_structure,one,yes,metal,concrete
899,361887849,closed_structure,one,yes,metal,concrete
903,361977811,closed_structure,one,yes,metal,concrete
907,362022905,closed_structure,one,yes,unclear,concrete
910,362029414,closed_structure,one,yes,metal,concrete
911,362034761,closed_structure,one,yes,metal,concrete
913,362040537,closed_structure,one,yes,metal,concrete
917,362040770,closed_structure,one,yes,metal,concrete
919,362042635,closed_structure,one,no,metal,concrete
920,362042638,closed_structure,one,yes,metal,concrete
926,362047000,closed_structure,one,yes,metal,concrete
927,362048386,closed_structure,one,yes,metal,concrete
936,362054753,closed_structure,one,yes,metal,concrete
937,362057185,closed_structure,one,yes,metal,concrete
939,362057190,closed_structure,one,no,metal,concrete
948,362057205,closed_structure,one,no,metal,concrete
956,362065517,closed_structure,one,yes,metal,concrete
959,362065521,closed_structure,one,yes,metal,concrete
960,362068080,closed_structure,one,yes,metal,concrete
971,362346435,closed_structure,one,yes,metal,concrete
973,362346442,closed_structure,one,yes,metal,concrete
974,362346443,closed_structure,one,yes,metal,concrete
978,362459180,closed_structure,one,yes,metal,concrete
980,362459191,unclear,one,yes,unclear,metal
982,362459204,closed_structure,one,yes,metal,concrete
990,362514227,partial,one,yes,metal,metal
999,362542224,unclear,one,yes,metal,metal
1014,362555646,closed_structure,one,yes,metal,concrete
1015,362555647,closed_structure,one,yes,metal,concrete
1020,362556730,closed_structure,one,yes,metal,concrete
1023,362560750,closed_structure,one,yes,metal,concrete
1024,362561512,closed_structure,one,yes,metal,concrete
1029,362561579,closed_structure,one,yes,metal,concrete
1030,362561581,closed_structure,one,yes,metal,concrete
1031,362561627,closed_structure,one,yes,metal,concrete
1033,362562025,closed_structure,one,yes,metal,concrete
1035,362563127,closed_structure,one,no,metal,concrete
1045,362565556,closed_structure,one,yes,metal,concrete
1049,362566399,closed_structure,one,yes,metal,concrete
1053,362566540,closed_structure,one,yes,metal,concrete
1056,362574270,closed_structure,one,yes,metal,concrete
1060,362577081,closed_structure,one,yes,metal,concrete
1062,362577430,closed_structure,one,no,metal,concrete
1065,362577839,closed_structure,one,yes,metal,concrete
1067,362577845,unclear,one,yes,metal,metal
1073,362578791,closed_structure,one,yes,metal,concrete
1075,362579843,closed_structure,one,yes,metal,concrete
1077,362579875,unclear,one,yes,metal,metal
1079,362580168,closed_structure,one,yes,metal,concrete
1091,362581466,closed_structure,one,yes,metal,concrete
1092,362581475,closed_structure,one,yes,metal,concrete
1097,362583653,closed_structure,one,yes,metal,concrete
1098,362583655,closed_structure,one,yes,metal,concrete
1106,362584972,closed_structure,one,yes,metal,concrete
1108,362584983,closed_structure,one,yes,metal,concrete
1109,362585004,closed_structure,one,yes,metal,concrete
1111,362585026,closed_structure,one,yes,metal,concrete
1114,362586416,closed_structure,one,yes,metal,concrete
1115,362586417,closed_structure,one,yes,metal,concrete
1118,362588690,closed_structure,one,yes,metal,concrete
1121,362589067,closed_structure,one,yes,metal,concrete
1122,362589078,closed_structure,one,yes,metal,concrete
1126,362591579,closed_structure,one,yes,metal,concrete
1129,362594598,closed_structure,one,yes,metal,concrete
1133,362595015,closed_structure,one,yes,metal,concrete
1137,362624805,closed_structure,one,yes,metal,concrete
1139,362624821,closed_structure,one,yes,metal,concrete
1141,362624832,closed_structure,one,yes,metal,concrete
1142,362624834,closed_structure,one,yes,metal,concrete
1143,362624841,closed_structure,one,yes,metal,concrete
1146,362698884,closed_structure,one,yes,metal,concrete
1148,362698888,closed_structure,one,yes,metal,concrete
1150,362698891,closed_structure,one,yes,metal,concrete
1152,362698898,closed_structure,one,yes,metal,concrete
1163,362703687,closed_structure,one,yes,metal,concrete
1171,362710735,closed_structure,one,yes,metal,concrete
1172,362710736,unclear,one,yes,metal,metal
1177,362711289,closed_structure,one,yes,metal,concrete
1181,362717518,closed_structure,one,yes,unclear,concrete
1184,362719221,closed_structure,one,yes,metal,concrete
1187,362719646,closed_structure,one,yes,metal,concrete
1188,362719647,closed_structure,one,yes,metal,concrete
1190,362722251,closed_structure,one,yes,metal,concrete
1191,362722999,closed_structure,one,yes,metal,concrete
1193,362726324,closed_structure,one,yes,metal,concrete
1196,362726346,closed_structure,one,yes,metal,concrete
1200,362726797,closed_structure,one,yes,metal,concrete
1203,362729397,closed_structure,one,yes,metal,concrete
1204,362729399,closed_structure,one,yes,metal,concrete
1206,362729894,closed_structure,one,yes,metal,concrete
1207,362730102,closed_structure,one,yes,metal,concrete
1209,362730107,closed_structure,one,yes,metal,concrete
1210,362730110,closed_structure,one,yes,metal,concrete
1211,362730127,closed_structure,four_plus,yes,concrete,concrete
1214,362730140,closed_structure,one,yes,metal,concrete
1216,362730342,closed_structure,one,yes,metal,concrete
1220,362731037,closed_structure,one,yes,metal,metal
1222,362731040,closed_structure,one,yes,metal,concrete
1223,362731042,closed_structure,one,yes,metal,concrete
1224,362731043,closed_structure,one,yes,metal,concrete
1227,362731050,closed_structure,one,yes,metal,concrete
1228,362731051,closed_structure,one,yes,metal,concrete
1229,362731055,closed_structure,one,yes,metal,concrete
1232,362731062,closed_structure,one,no,metal,concrete
1235,362731068,closed_structure,one,yes,metal,concrete
1237,362731073,closed_structure,one,yes,metal,concrete
1239,362731083,closed_structure,one,yes,metal,concrete
1240,362731084,closed_structure,one,yes,metal,concrete
1241,362731091,closed_structure,one,yes,shingles,concrete
1245,362731465,closed_structure,one,yes,unclear,concrete
1246,362731467,closed_structure,one,yes,metal,concrete
1247,362731468,closed_structure,one,yes,metal,concrete
1248,362731469,closed_structure,one,yes,metal,unclear
1249,362731490,closed_structure,one,yes,metal,concrete
1251,362732264,closed_structure,one,yes,metal,concrete
1252,362732266,closed_structure,one,yes,metal,concrete
1253,362732268,closed_structure,one,yes,metal,concrete
1255,362732330,unclear,one,yes,metal,metal
1258,362733670,closed_structure,one,yes,metal,concrete
1259,362733674,closed_structure,one,yes,metal,concrete
1262,362734969,closed_structure,one,yes,metal,concrete
1267,362736008,unclear,one,yes,metal,concrete
1268,362736016,unclear,one,yes,metal,concrete
1275,362736109,closed_structure,one,yes,metal,concrete
1279,362736407,closed_structure,one,yes,metal,concrete
1280,362736411,closed_structure,two,yes,metal,concrete
1281,362736435,closed_structure,one,yes,metal,concrete
1290,362736471,closed_structure,one,yes,metal,concrete
1293,362736477,closed_structure,one,yes,metal,concrete
1294,362736478,closed_structure,one,yes,metal,concrete
1295,362736481,closed_structure,one,yes,metal,concrete
1303,362736511,closed_structure,one,yes,shingles,concrete
1309,362736840,closed_structure,one,yes,metal,concrete
1311,362739288,closed_structure,one,yes,metal,concrete
1312,362739293,unclear,unclear,yes,metal,unclear
1315,362740819,closed_structure,one,yes,metal,concrete
1317,362743702,closed_structure,one,yes,metal,concrete
1320,362743732,closed_structure,one,yes,unclear,concrete
1325,362743765,closed_structure,one,yes,metal,concrete
1330,362744362,closed_structure,one,yes,metal,concrete
1332,362744675,closed_structure,one,yes,metal,concrete
1338,362744686,closed_structure,one,yes,metal,concrete
1339,362744687,closed_structure,one,yes,metal,concrete
1340,362744688,closed_structure,one,yes,metal,concrete
1341,362744692,closed_structure,one,yes,metal,concrete
1342,362744695,closed_structure,one,yes,metal,concrete
1344,362744700,closed_structure,one,yes,metal,concrete
1355,362748759,closed_structure,one,yes,metal,concrete
1357,362749097,closed_structure,one,yes,metal,concrete
1360,362750659,closed_structure,one,yes,metal,concrete
1364,362750771,closed_structure,one,yes,metal,concrete
1367,362751439,closed_structure,one,yes,metal,metal
1373,362753959,closed_structure,one,yes,metal,concrete
1374,362753961,closed_structure,one,yes,metal,concrete
1377,362758066,closed_structure,one,yes,metal,concrete
1401,362791909,unclear,one,yes,metal,metal
1404,362791925,closed_structure,one,no,metal,concrete
1414,362890521,unclear,unclear,yes,unclear,unclear
1418,362892743,closed_structure,one,yes,metal,concrete
1419,362905769,closed_structure,one,yes,metal,concrete
1421,362913505,closed_structure,one,yes,metal,concrete
1424,362913736,closed_structure,one,yes,metal,concrete
1429,362915023,closed_structure,one,yes,metal,concrete
1431,362919865,closed_structure,one,yes,metal,concrete
1437,362921783,unclear,unclear,yes,metal,unclear
1439,362921787,unclear,unclear,yes,metal,unclear
1443,362921831,closed_structure,one,yes,metal,concrete
1445,362921873,closed_structure,one,yes,metal,concrete
1449,362921988,closed_structure,one,yes,metal,concrete
1452,362921991,closed_structure,one,yes,metal,concrete
1461,362922017,closed_structure,one,yes,metal,concrete
1462,362922018,closed_structure,one,yes,metal,concrete
1467,362922030,closed_structure,one,yes,metal,concrete
1474,362922048,closed_structure,one,yes,metal,concrete
1482,362924365,closed_structure,one,yes,metal,concrete
1487,362926717,closed_structure,one,yes,metal,concrete
1488,362927104,closed_structure,one,yes,metal,concrete
1491,362927119,closed_structure,one,yes,metal,concrete
1493,362927123,closed_structure,one,yes,metal,concrete
1495,362927575,closed_structure,one,yes,metal,concrete
1510,362940011,closed_structure,one,yes,metal,concrete
1511,362941088,closed_structure,one,yes,metal,metal
1515,362947585,closed_structure,one,yes,metal,concrete
1516,362947587,closed_structure,one,yes,metal,concrete
1517,362947588,closed_structure,one,yes,shingles,concrete
1519,362947593,closed_structure,one,yes,metal,concrete
1520,362947596,closed_structure,one,yes,metal,concrete
1522,362947598,closed_structure,one,yes,metal,concrete
1530,362947610,closed_structure,one,yes,metal,concrete
1533,362947614,closed_structure,one,yes,metal,concrete
1534,362947615,closed_structure,one,yes,metal,concrete
1536,362947618,closed_structure,one,yes,metal,concrete
1545,362947642,closed_structure,one,yes,metal,concrete
1555,362949408,closed_structure,one,yes,unclear,concrete
1557,362949497,closed_structure,one,yes,metal,concrete
1558,362949498,closed_structure,one,yes,metal,concrete
1563,362949732,closed_structure,one,yes,metal,concrete
1570,362964337,unclear,one,yes,metal,wood
1571,362964342,closed_structure,one,yes,metal,concrete
1577,362964385,closed_structure,one,yes,metal,concrete
1584,363075899,closed_structure,two,yes,metal,concrete
1585,363075900,unclear,unclear,yes,unclear,unclear
1601,363094133,closed_structure,one,yes,metal,concrete
1603,363095246,closed_structure,one,no,metal,concrete
1604,363095249,closed_structure,one,no,metal,concrete
1608,363095263,closed_structure,one,no,metal,concrete
1609,363095376,closed_structure,one,yes,metal,concrete
1613,363096943,closed_structure,one,yes,shingles,concrete
1615,363096965,closed_structure,one,yes,shingles,concrete
1617,363096973,closed_structure,one,yes,metal,concrete
1620,363097755,closed_structure,one,yes,unclear,concrete
1622,363098488,closed_structure,one,no,metal,concrete
1629,363100559,closed_structure,one,yes,metal,concrete
1632,363100565,closed_structure,one,yes,metal,concrete
1634,363100597,closed_structure,one,yes,metal,concrete
1636,363100926,closed_structure,one,yes,metal,concrete
1638,363101270,closed_structure,one,yes,metal,concrete
1641,363101984,closed_structure,one,yes,metal,concrete
1644,363101995,closed_structure,one,yes,metal,concrete
1650,363102603,closed_structure,one,yes,unclear,concrete
1652,363102610,closed_structure,one,yes,metal,concrete
1654,363102615,closed_structure,one,yes,metal,concrete
1655,363102616,closed_structure,one,yes,metal,concrete
1657,363102618,closed_structure,one,yes,metal,concrete
1658,363102619,closed_structure,one,yes,metal,concrete
1659,363102620,closed_structure,one,yes,metal,concrete
1660,363102621,unclear,one,yes,metal,metal
1661,363102622,closed_structure,one,yes,metal,concrete
1665,363102627,closed_structure,one,yes,metal,concrete
1666,363102631,closed_structure,one,yes,metal,concrete
1667,363102632,closed_structure,one,yes,metal,concrete
1668,363102635,closed_structure,one,yes,metal,concrete
1671,363102644,closed_structure,one,yes,metal,concrete
1675,363104325,closed_structure,one,yes,metal,concrete
1678,363104331,unclear,one,no,metal,concrete
1679,363104334,closed_structure,one,no,metal,concrete
1682,363104340,closed_structure,one,no,metal,concrete
1688,363104357,closed_structure,one,no,metal,concrete
1690,363104982,closed_structure,one,yes,metal,concrete
1692,363104993,closed_structure,one,yes,metal,concrete
1693,363104995,closed_structure,one,yes,metal,concrete
1695,363105002,closed_structure,one,yes,metal,concrete
1699,363105039,closed_structure,one,yes,metal,concrete
1701,363105050,closed_structure,one,yes,metal,concrete
1706,363105098,closed_structure,one,yes,metal,concrete
1713,363107973,closed_structure,one,yes,metal,concrete
1717,363107999,closed_structure,one,yes,metal,concrete
1725,363108369,closed_structure,one,no,metal,metal
1727,363108382,closed_structure,one,no,metal,concrete
1731,363112490,unclear,unclear,yes,metal,unclear
1733,363112494,closed_structure,one,yes,metal,concrete
1737,363112499,closed_structure,one,yes,metal,concrete
1739,363112502,closed_structure,one,yes,metal,concrete
1744,363112582,closed_structure,one,yes,metal,concrete
1748,363113735,closed_structure,one,yes,metal,concrete
1749,363113738,closed_structure,one,yes,metal,concrete
1761,363121814,closed_structure,one,yes,metal,concrete
1765,363125548,closed_structure,one,yes,metal,concrete
1771,363125594,closed_structure,one,yes,metal,concrete
1772,363125596,closed_structure,one,yes,metal,concrete
1778,363125632,closed_structure,one,yes,metal,concrete
1779,363125634,closed_structure,one,yes,metal,concrete
1780,363125636,closed_structure,one,yes,metal,concrete
1781,363125638,closed_structure,one,yes,metal,concrete
1783,363125642,closed_structure,one,yes,metal,concrete
1789,363125661,closed_structure,one,yes,metal,concrete
1790,363125664,closed_structure,one,yes,metal,concrete
1795,363127374,closed_structure,one,yes,metal,concrete
1799,363127380,closed_structure,one,yes,metal,concrete
